region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Georgia,Bryan County,"Bryan County, Georgia",,2,0.104,0.149,0,0.886,4420,241.5,16.829,0,0.042,0.08,55.94,0.189,0.181,58.4,18.6749,0.079,0.084,0,0.154
South,Georgia,Bulloch County,"Bulloch County, Georgia",,2.8,0.097,0.097,4.8,0.96,3958,210.2,6.182,1.6,0.057,0.08,53.23,0.197,0.132,34.1,25.9845,0.099,0.084,16.95,0.185
South,Georgia,Burke County,"Burke County, Georgia",,3.1,0.12,0.18,0,0.882,5864,311.4,15.102,0,0.053,0.07,42.06,0.331,0.153,74.4,22.7649,0.197,0.084,22.39,0.139
South,Georgia,Butts County,"Butts County, Georgia",,3.6,0.128,0.191,5.3,0.883,5747,316.3,8.504,0,0.043,0.07,60.81,0.272,0.196,64.8,24.6452,0.157,0.084,21.33,0.193
South,Georgia,Calhoun County,"Calhoun County, Georgia",,3,0.087,0.151,4.3,0.95,4899,240,11.731,2.1,0.048,0.06,61.53,0.235,0.301,49.6,26.8384,0.072,0.084,10.13,0.129
South,Georgia,Camden County,"Camden County, Georgia",,3.6,0.132,0.227,0,0.77,6352,354.4,16.596,0,0.045,0.09,51.89,0.315,0.165,83.6,16.4888,0.141,0.084,21.52,0.124
South,Georgia,Candler County,"Candler County, Georgia",,3.3,0.123,0.18,6.3,0.89,6415,318.9,10.899,3.6,0.044,0.08,53.32,0.212,0.126,62.8,27.0894,0.112,0.085,13.5,0.189
South,Georgia,"Carroll County, GA","Carroll County, GA, Georgia",,3.7,0.144,0.156,7.3,0.728,7142,338,6.248,8.1,0.07,0.07,35.94,0.386,0.152,73.8,23.2966,0.265,0.085,14.38,0.118
South,Georgia,Catoosa County,"Catoosa County, Georgia",,5.4,0.269,0.125,6.1,0.815,6324,333,4.03,4.8,0.135,0.06,62.59,0.337,0.147,46.7,20.4642,0.28,0.085,30.87,0.203
South,Georgia,Charlton County,"Charlton County, Georgia",,4.3,0.223,0.172,5.3,0.808,7558,418.6,4.525,5.2,0.14,0.06,70.78,0.339,0.194,77,29.0995,0.28,0.085,9.18,0.154
South,Georgia,"Chatham County, GA","Chatham County, GA, Georgia",,0,0,0,0,0,0,438,27.701,0,0.039,0.12,0,0.263,0,141.9,13.7851,0.202,0.085,10.09,0.242
South,Georgia,Chattahoochee County,"Chattahoochee County, Georgia",,3.1,0.11,0.164,8.8,0.804,7335,347.6,10.493,7.7,0.067,0.09,54.16,0.36,0.216,57,24.4465,0.169,0.085,0,0.167
South,Georgia,Chattooga County,"Chattooga County, Georgia",,3.7,0.147,0.167,7.9,0.723,5874,339.5,6.483,0,0.07,0.07,44.68,0.213,0.194,57.8,16.3276,0.229,0.085,10.61,0.235
South,Georgia,"Cherokee County, GA","Cherokee County, GA, Georgia",,3.3,0.134,0.112,7.6,0.828,5565,292.9,12.654,1.7,0.073,0.08,52.89,0.269,0.16,44.9,17.274,0.127,0.085,29.35,0.164
South,Georgia,"Clarke County, GA","Clarke County, GA, Georgia",,3.5,0.144,0.178,5.5,0.904,6029,320.2,9.502,2.9,0.064,0.07,42.97,0.286,0.173,52.8,17.6687,0.178,0.085,8.71,0.173
South,Georgia,Clay County,"Clay County, Georgia",,4.5,0.173,0.254,7.3,0.916,7380,393.4,9.137,2.8,0.07,0.09,93.14,0.32,0.132,54,18.9608,0.226,0.085,22.43,0.166
South,Georgia,"Clayton County, GA","Clayton County, GA, Georgia",,3,0.126,0.177,4.3,0.95,5360,290.7,9.628,1.9,0.057,0.07,49.5,0.202,0.195,53.1,33.6224,0.078,0.085,23.16,0.196
South,Georgia,Clinch County,"Clinch County, Georgia",,3,0.09,0.167,5.1,0.838,5392,264.8,7.055,1.1,0.081,0.06,56.74,0.194,0.23,48.5,30.3026,0.08,0.085,11.55,0.117
South,Georgia,"Cobb County, GA","Cobb County, GA, Georgia",,2.6,0.098,0.161,5.8,0.864,4637,226.7,12.04,1.2,0.067,0.06,33.06,0.204,0.191,42.7,19.5434,0.123,0.085,20.18,0.176
South,Georgia,Coffee County,"Coffee County, Georgia",,3,0.13,0.259,4.8,0.795,4812,256.1,9.915,0,0.06,0.07,40.98,0.242,0.161,68.7,31.1348,0.082,0.085,10.37,0.154
South,Georgia,Colquitt County,"Colquitt County, Georgia",,2.7,0,0,0,0.746,5318,279,22.482,0,0.048,0.05,51.78,0.274,0.253,77.7,22.8835,0.137,0.085,16.79,0.198
South,Georgia,"Columbia County, GA","Columbia County, GA, Georgia",,2.4,0.13,0,0,0,0,0,16.992,0,0.034,0,0,0.115,0,0,10.0249,0.226,0.085,15.31,0.179
South,Georgia,Cook County,"Cook County, Georgia",,2.3,0.102,0.16,0,0,0,0,28.361,0,0.037,0,0,0.341,0.225,0,12.2996,0.15,0.085,15.51,0.111
South,Georgia,"Coweta County, GA","Coweta County, GA, Georgia",,3.4,0.134,0.171,6.8,0.826,7322,351.4,12.444,2.6,0.043,0.07,49.09,0.308,0.161,71.6,18.4708,0.158,0.085,18.22,0.171
South,Georgia,Crawford County,"Crawford County, Georgia",,3.3,0.145,0.177,0,0.556,7274,338,22.946,0,0.04,0.07,62.85,0.203,0.21,67.6,12.9825,0.223,0.085,30.8,0.232
South,Georgia,Crisp County,"Crisp County, Georgia",,3.1,0.144,0.168,5.5,0.868,5887,303.1,14.417,2.8,0.036,0.07,60.37,0.333,0.181,53.6,15.449,0.222,0.085,10.37,0.218
South,Georgia,Dade County,"Dade County, Georgia",,3.4,0,0,0,0,0,348.3,9.995,0,0.064,0,0,0.06,0,0,16.6295,0.098,0.085,18.63,0.113
South,Georgia,Dawson County,"Dawson County, Georgia",,3.4,0.121,0.184,4.6,0.907,5693,297.3,8.817,1.3,0.078,0.07,67.16,0.172,0.182,43.5,36.002,0.072,0.085,18.93,0.162
South,Georgia,Decatur County,"Decatur County, Georgia",,4.2,0.22,0.169,0,0.702,10516,463.4,5.113,0,0.053,0.09,41.82,0.551,0.132,102,16.8795,0.439,0.085,11.63,0.217
South,Georgia,"DeKalb County, GA","DeKalb County, GA, Georgia",,3,0.156,0.164,7,0.902,5213,285.1,8.249,4.5,0.069,0.08,53.87,0.219,0.14,44.4,27.614,0.144,0.085,15.23,0.179
South,Georgia,Dodge County,"Dodge County, Georgia",,2.9,0.112,0.187,0,0.87,5491,283.1,27.132,0,0.035,0.06,45.98,0.216,0.215,60.2,16.5841,0.108,0.085,33.41,0.157
South,Georgia,Dooly County,"Dooly County, Georgia",,4.3,0.189,0.194,7.8,0.878,7518,370.1,7.894,5.2,0.07,0.09,52.97,0.346,0.133,55.5,19.4242,0.215,0.085,35.76,0.229
South,Georgia,Dougherty County,"Dougherty County, Georgia",,3.9,0.155,0.216,0,0.893,7336,343.8,12.173,0,0.062,0.08,55.71,0.353,0.188,91.9,21.5635,0.219,0.085,20.09,0.159
South,Georgia,"Douglas County, GA","Douglas County, GA, Georgia",,0,0,0,0,0.825,4313,262.9,5.064,0,0.047,0.07,49.67,0.285,0,25.1,38.6407,0.137,0.085,29.63,0.138
South,Georgia,Early County,"Early County, Georgia",,3.4,0.154,0.233,6.3,0.885,6385,354.4,13.018,0,0.062,0.06,56.29,0.357,0.275,67.8,20.5274,0.22,0.085,26.73,0.147
South,Georgia,Echols County,"Echols County, Georgia",,3.1,0.108,0.188,0,0.975,7190,357.7,18.169,0,0.046,0.06,51.6,0.207,0.157,99.6,23.0172,0.107,0.085,30.03,0.143
South,Georgia,Effingham County,"Effingham County, Georgia",,3.5,0.162,0.198,0,0.844,7819,357.4,18.356,0,0.043,0.09,42.16,0.228,0.17,97.8,27.4747,0.122,0.085,20.13,0.165
South,Georgia,Elbert County,"Elbert County, Georgia",,3.7,0.164,0.237,0,0.84,6816,317.8,12.815,5,0.075,0.1,44.67,0.245,0.161,97.6,22.0723,0.215,0.086,8.09,0.133
South,Georgia,Emanuel County,"Emanuel County, Georgia",,2.8,0.215,0.173,0,0,7149,375.4,22.239,0,0.042,0.07,54.65,0.24,0.155,85.3,11.333,0.195,0.086,15.79,0.185
